# Data taken from Figs. 10.1 and 10.3 of 40 years of evolution: Darwin's finches on Daphne Major Island by Grant and Grant. Accessed from the Dryad repository, http://dx.doi.org/10.5061/dryad.g6g3h, and munged into this CSV file.
band,species,beak length (mm),beak depth (mm),year
4229,fortis,10.05,8.62,1987
13195,fortis,10.35,8.62,1987
14829,fortis,10.86,8.63,1987
13994,fortis,10.18,8.64,1987
15464,fortis,9.45,8.65,1987
15865,fortis,10.19,8.66,1987
14831,fortis,10.84,8.66,1987
13269,fortis,9.4,8.7,1987
15184,fortis,9.5,8.7,1987
14096,fortis,9.8,8.7,1987
15245,fortis,9.85,8.7,1987
15143,fortis,10.0,8.7,1987
15712,fortis,10.1,8.7,1987
4715,fortis,10.4,8.7,1987
14832,fortis,10.45,8.7,1987
15757,fortis,10.57,8.7,1987
14694,fortis,10.8,8.7,1987
15388,fortis,10.9,8.7,1987
15224,fortis,11.4,8.7,1987
15018,fortis,9.64,8.71,1987
15981,fortis,10.04,8.71,1987
15228,fortis,10.24,8.71,1987
15663,fortis,10.44,8.71,1987
15983,fortis,10.54,8.71,1987
10198,fortis,10.64,8.71,1987
15657,fortis,10.84,8.71,1987
15990,fortis,10.94,8.71,1987
15123,fortis,11.14,8.71,1987
15855,fortis,11.14,8.71,1987
15005,fortis,11.29,8.71,1987
15617,fortis,11.79,8.71,1987
14880,fortis,9.84,8.72,1987
14742,fortis,11.15,8.72,1987
15080,fortis,9.76,8.73,1987
15273,fortis,10.06,8.73,1987
4859,fortis,10.87,8.73,1987
14767,fortis,11.86,8.73,1987
5602,fortis,10.83,8.74,1987
15978,fortis,10.39,8.76,1987
15246,fortis,10.64,8.76,1987
15264,fortis,9.7,8.77,1987
14867,fortis,10.09,8.77,1987
13687,fortis,10.67,8.77,1987
15306,fortis,10.95,8.77,1987
10347,fortis,9.96,8.79,1987
15420,fortis,9.7,8.8,1987
16016,fortis,9.97,8.8,1987
14042,fortis,10.1,8.8,1987
14797,fortis,10.37,8.8,1987
14761,fortis,10.9,8.8,1987
14858,fortis,10.9,8.8,1987
2749,fortis,11.1,8.8,1987
15244,fortis,11.15,8.8,1987
5872,fortis,11.8,8.8,1987
14680,fortis,10.14,8.81,1987
14763,fortis,10.19,8.81,1987
14892,fortis,10.24,8.81,1987
15176,fortis,10.24,8.81,1987
14795,fortis,10.54,8.81,1987
15040,fortis,10.54,8.81,1987
15733,fortis,10.54,8.81,1987
15367,fortis,10.74,8.81,1987
14535,fortis,11.24,8.81,1987
15268,fortis,11.24,8.81,1987
15883,fortis,10.05,8.82,1987
15220,fortis,10.24,8.82,1987
15430,fortis,10.94,8.82,1987
15404,fortis,10.59,8.86,1987
14841,fortis,9.9,8.87,1987
15313,fortis,10.04,8.87,1987
14868,fortis,10.35,8.87,1987
13385,fortis,11.2,8.87,1987
15301,fortis,11.8,8.88,1987
5626,fortis,11.1,8.89,1987
14928,fortis,10.0,8.9,1987
5965,fortis,10.1,8.9,1987
15182,fortis,10.1,8.9,1987
16162,fortis,10.13,8.9,1987
13582,fortis,10.2,8.9,1987
14811,fortis,10.33,8.9,1987
5669,fortis,10.4,8.9,1987
10703,fortis,10.4,8.9,1987
14684,fortis,10.7,8.9,1987
14809,fortis,10.7,8.9,1987
10548,fortis,10.9,8.9,1987
15387,fortis,10.9,8.9,1987
5721,fortis,11.1,8.9,1987
14808,fortis,11.6,8.9,1987
15223,fortis,11.6,8.9,1987
15795,fortis,11.8,8.9,1987
15274,fortis,10.44,8.91,1987
14664,fortis,10.54,8.91,1987
15854,fortis,10.64,8.91,1987
15941,fortis,10.74,8.91,1987
14258,fortis,10.76,8.91,1987
15852,fortis,10.79,8.91,1987
15132,fortis,10.84,8.91,1987
15659,fortis,11.04,8.91,1987
15431,fortis,11.29,8.91,1987
15378,fortis,11.84,8.91,1987
14749,fortis,10.04,8.92,1987
14533,fortis,11.1,8.92,1987
15348,fortis,11.2,8.92,1987
14636,fortis,10.76,8.93,1987
14671,fortis,10.76,8.93,1987
13575,fortis,11.0,8.93,1987
14685,fortis,11.46,8.93,1987
2639,fortis,10.3,8.95,1987
14478,fortis,10.9,8.95,1987
14681,fortis,9.94,8.96,1987
15630,fortis,10.24,8.96,1987
15229,fortis,10.99,8.96,1987
15337,fortis,10.47,8.97,1987
15332,fortis,10.7,8.97,1987
5330,fortis,12.21,8.97,1987
14403,fortis,10.35,8.98,1987
15232,fortis,10.52,8.98,1987
5554,fortis,10.0,9.0,1987
15054,fortis,10.3,9.0,1987
15157,fortis,10.6,9.0,1987
15488,fortis,10.75,9.0,1987
15241,fortis,10.8,9.0,1987
14915,fortis,11.0,9.0,1987
14788,fortis,12.0,9.0,1987
14846,fortis,10.04,9.01,1987
15631,fortis,10.24,9.01,1987
15715,fortis,10.24,9.01,1987
15496,fortis,10.34,9.01,1987
15758,fortis,10.34,9.01,1987
15791,fortis,10.64,9.01,1987
15311,fortis,11.24,9.01,1987
15684,fortis,11.54,9.01,1987
15785,fortis,11.54,9.01,1987
15465,fortis,10.74,9.02,1987
14712,fortis,11.04,9.02,1987
15230,fortis,10.1,9.03,1987
15318,fortis,10.76,9.03,1987
14356,fortis,10.04,9.04,1987
5389,fortis,10.27,9.04,1987
